,ent,ent_label
5551,thousands,CARDINAL
5552,"over $ 250,000",MONEY
5553,tonight,TIME
5554,18,DATE
5555,Americans,NORP
5556,Congress,ORG
5557,July,DATE
5558,millions,CARDINAL
5559,thousands of dollars,MONEY
5560,the next five years,DATE
5561,America,GPE
5562,hundreds of thousands,CARDINAL
5563,American,NORP
5564,American,NORP
5565,election-year,DATE
5566,Congress,ORG
5567,Steve Jobs,PERSON
5568,America,GPE
5569,this year,DATE
5570,Today,DATE
5571,American,NORP
5572,American,NORP
5573,Berlin,GPE
5574,the last three years,DATE
5575,millions,CARDINAL
5576,tonight,TIME
5577,1,CARDINAL
5578,more than 75 percent,PERCENT
5579,American,NORP
5580,eight years,DATE
5581,eight years,DATE
5582,last year,DATE
5583,the past 16 years,DATE
5584,only 2 percent,PERCENT
5585,American,NORP
5586,America,GPE
5587,nearly 100 years,DATE
5588,"more than 600,000",CARDINAL
5589,the end of the decade,DATE
5590,1,CARDINAL
5591,America,GPE
5592,30 years,DATE
5593,three years,DATE
5594,America,GPE
5595,thousands,CARDINAL
5596,Americans,NORP
5597,Bryan Ritterby,PERSON
5598,55,DATE
5599,second,ORDINAL
5600,Energetx,ORG
5601,Michigan,GPE
5602,Today,DATE
5603,Bryan,PERSON
5604,Bryan,PERSON
5605,China,GPE
5606,Germany,GPE
5607,a century,DATE
5608,Congress,ORG
5609,tonight,TIME
5610,1,CARDINAL
5611,3 million,CARDINAL
5612,the Department of Defense,ORG
5613,Navy,ORG
5614,a quarter,CARDINAL
5615,a year,DATE
5616,$ 100 billion,MONEY
5617,the next decade,DATE
5618,America,GPE
5619,one,CARDINAL
5620,America,GPE
5621,America,GPE
5622,America,GPE
5623,"the Great Depression, America",EVENT
5624,the Hoover Dam,LOC
5625,the Golden Gate Bridge,FAC
5626,World War II,EVENT
5627,Democratic,NORP
5628,Republican,NORP
5629,today,DATE
5630,the next few weeks,DATE
5631,half,CARDINAL
5632,millions,CARDINAL
5633,Americans,NORP
5634,1,CARDINAL
5635,Congress,ORG
5636,"about $ 3,000",MONEY
5637,Millions,CARDINAL
5638,Americans,NORP
5639,America,GPE
5640,the first three years,DATE
5641,Republican,NORP
5642,500,CARDINAL
5643,more than $ 10 billion,MONEY
5644,the next five years,DATE
5645,one,CARDINAL
5646,40 years ago,DATE
5647,"10,000",MONEY
5648,1,CARDINAL
5649,Gulf,LOC
5650,two years ago,DATE
5651,the days,DATE
5652,Today,DATE
5653,American,NORP
5654,Richard Cordray,PERSON
5655,one,CARDINAL
5656,Financial Crimes Unit,ORG
5657,tonight,TIME
5658,1,CARDINAL
5659,Americans,NORP
5660,American,NORP
5661,160 million,CARDINAL
5662,Americans,NORP
5663,40,MONEY
5664,this year,DATE
5665,more than $ 2 trillion,MONEY
5666,nearly $ 1 trillion,MONEY
5667,2 percent,PERCENT
5668,Americans,NORP
5669,millions,CARDINAL
5670,Warren Buffett,PERSON
5671,Americans,NORP
5672,American,NORP
5673,this summer,DATE
5674,1,CARDINAL
5675,Medicare,ORG
5676,Medicaid,ORG
5677,Social Security,ORG
5678,Congress,ORG
5679,the Buffett Rule,PERSON
5680,more than $ 1 million,MONEY
5681,less than 30 percent,PERCENT
5682,Republican,NORP
5683,Tom Coburn,PERSON
5684,Washington,GPE
5685,a million dollars,MONEY
5686,"under $ 250,000",MONEY
5687,98 percent,PERCENT
5688,American,NORP
5689,Americans,NORP
5690,Americans,NORP
5691,Americans,NORP
5692,America,GPE
5693,tonight,TIME
5694,Americans,NORP
5695,Washington,GPE
5696,this year,DATE
5697,next year,DATE
5698,the year,DATE
5699,Washington,GPE
5700,last year,DATE
5701,Washington,GPE
5702,the United States,GPE
5703,tonight,TIME
5704,Main Street,FAC
5705,Congress,ORG
5706,tomorrow,DATE
5707,Congress,ORG
5708,Congress,ORG
5709,Washington,GPE
5710,Congress,ORG
5711,these days,DATE
5712,Senate,ORG
5713,Senate,ORG
5714,90 days,DATE
5715,Congress,ORG
5716,American,NORP
5717,two,CARDINAL
5718,1,CARDINAL
5719,Democrat,NORP
5720,Republican,NORP
5721,Abraham Lincoln,PERSON
5722,Republican,NORP
5723,this year,DATE
5724,Congress,ORG
5725,the United States of America,GPE
5726,the last few years,DATE
5727,the Iraq war,EVENT
5728,Pakistan,GPE
5729,Yemen,GPE
5730,al Qaeda,ORG
5731,the United States of America,GPE
5732,Afghanistan,GPE
5733,Ten thousand,CARDINAL
5734,Twenty-three thousand,CARDINAL
5735,the end of this summer,DATE
5736,Afghan,NORP
5737,Afghanistan,GPE
5738,America,GPE
5739,the Middle East,LOC
5740,North Africa,GPE
5741,Tunis,NORP
5742,Cairo,GPE
5743,Tripoli,GPE
5744,A year ago,DATE
5745,Qaddafi,ORG
5746,American,NORP
5747,Today,DATE
5748,Syria,GPE
5749,Assad,PERSON
5750,Christians,NORP
5751,Muslims,NORP
5752,Jews,NORP
5753,America,GPE
5754,Iran,GPE
5755,Iran,GPE
5756,America,GPE
5757,Iran,GPE
5758,Iran,GPE
5759,American,NORP
5760,Europe,LOC
5761,Asia,LOC
5762,Americas,LOC
5763,Israel,GPE
5764,two,CARDINAL
5765,America,GPE
5766,Pacific,LOC
5767,Burma,GPE
5768,America,GPE
5769,America,GPE
5770,Tokyo,GPE
5771,Berlin,GPE
5772,Cape Town,LOC
5773,Rio,GPE
5774,America,GPE
5775,years,DATE
5776,America,GPE
5777,1,CARDINAL
5778,nearly half,CARDINAL
5779,one,CARDINAL
5780,Congress,ORG
5781,annual,DATE
5782,every year,DATE
5783,Congress,ORG
5784,Michelle,PERSON
5785,Jill Biden,PERSON
5786,American,NORP
5787,"135,000",CARDINAL
5788,tonight,TIME
5789,1,CARDINAL
5790,Veterans Jobs Corps,ORG
5791,America,GPE
5792,two,CARDINAL
5793,Asian,NORP
5794,Latino,PERSON
5795,Native American,NORP
5796,one,CARDINAL
5797,one,CARDINAL
5798,One,CARDINAL
5799,the SEAL Team,ORG
5800,bin Laden,PERSON
5801,Democrats,NORP
5802,Republicans,NORP
5803,the Situation Room,FAC
5804,Bob Gates,PERSON
5805,George Bush's,PERSON
5806,Hillary Clinton,PERSON
5807,One,CARDINAL
5808,America,GPE
5809,1,CARDINAL
5810,50,CARDINAL
5811,13,CARDINAL
5812,Union,ORG
5813,the United States of America,GPE
5814,Michelle,PERSON
5815,A few nights ago,DATE
5816,Sasha,PERSON
5817,Joe Biden,PERSON
5818,Madam Chairwoman,PERSON
5819,the United States,GPE
5820,first,ORDINAL
5821,2004,DATE
5822,Senate,ORG
5823,Illinois,GPE
5824,Eight years later,DATE
5825,I.,ORG
5826,the next few years,DATE
5827,Washington,GPE
5828,decades,DATE
5829,two,CARDINAL
5830,two,CARDINAL
5831,two,CARDINAL
5832,America,GPE
5833,two,CARDINAL
5834,Patton,GPE
5835,Army,ORG
5836,America,GPE
5837,Main Street,FAC
5838,Washington,GPE
5839,D.C.,GPE
5840,2008,DATE
5841,nearly a decade,DATE
5842,the Great Recession,FAC
5843,millions,CARDINAL
5844,Americans,NORP
5845,Tampa,GPE
5846,the Republican Convention,ORG
5847,America,GPE
5848,the last 30 years,DATE
5849,two,CARDINAL
5850,China,GPE
5851,America,GPE
5852,1,CARDINAL
5853,more than a few years,DATE
5854,decades,DATE
5855,Franklin Roosevelt,PERSON
5856,Washington,GPE
5857,America,GPE
5858,1,CARDINAL
5859,1,CARDINAL
5860,the next four years,DATE
5861,1,CARDINAL
5862,second,ORDINAL
5863,the United States,GPE
5864,a decade,DATE
5865,America,GPE
5866,Detroit,GPE
5867,Toledo,GPE
5868,American,NORP
5869,today,DATE
5870,America,GPE
5871,millions,CARDINAL
5872,three,CARDINAL
5873,America,GPE
5874,a decade,DATE
5875,over half a million,CARDINAL
5876,the last two and a half years,DATE
5877,the United States of America,GPE
5878,million,CARDINAL
5879,the next four years,DATE
5880,30 years,DATE
5881,thousands,CARDINAL
5882,Americans,NORP
5883,today,DATE
5884,the last year alone,DATE
5885,1 million barrels,QUANTITY
5886,today,DATE
5887,the United States of America,GPE
5888,the last two decades,DATE
5889,millions,CARDINAL
5890,the last three years,DATE
5891,$ 4 billion,MONEY
5892,a hundred year,DATE
5893,half,CARDINAL
5894,2020,DATE
5895,"more than 600,000",CARDINAL
5896,Americans,NORP
5897,Michelle,PERSON
5898,first,ORDINAL
5899,Millions,CARDINAL
5900,today,DATE
5901,billions of taxpayer,MONEY
5902,the United States of America,GPE
5903,Earth,LOC
5904,"100,000",CARDINAL
5905,10 years,DATE
5906,2 million,CARDINAL
5907,half,CARDINAL
5908,the next 10 years,DATE
5909,America,GPE
5910,Four years ago,DATE
5911,Iraq,GPE
5912,9/11,DATE
5913,Taliban,ORG
5914,Afghanistan,GPE
5915,2014,DATE
5916,New York,GPE
5917,al Qaeda,ORG
5918,Osama bin Laden,PERSON
5919,Tonight,TIME
5920,Americans,NORP
5921,1,CARDINAL
5922,Pacific,LOC
5923,China,GPE
5924,Burma,GPE
5925,Libya,GPE
5926,South Sudan,GPE
5927,Christians,NORP
5928,Muslims,NORP
5929,Jews,NORP
5930,Europe,LOC
5931,Israel,GPE
5932,Iranian,NORP
5933,Arab,NORP
5934,today,DATE
5935,America,GPE
5936,Russia,GPE
5937,al Qaeda,ORG
5938,Russia,GPE
5939,Cold War,EVENT
5940,Beijing,GPE
5941,Olympics,EVENT
5942,Iraq,GPE
5943,Afghanistan,GPE
5944,two,CARDINAL
5945,thousands,CARDINAL
5946,$ 4 trillion,MONEY
5947,last summer,DATE
5948,Republicans,NORP
5949,Congress,ORG
5950,billion [ trillion ] dollars,MONEY
5951,American,NORP
5952,"over $ 250,000",MONEY
5953,Bill Clinton,PERSON
5954,nearly 23 million,CARDINAL
5955,1,CARDINAL
5956,Romney,PERSON
5957,Congress,ORG
5958,trillions,CARDINAL
5959,Bill Clinton,PERSON
5960,1,CARDINAL
5961,millions,CARDINAL
5962,Americans,NORP
5963,1,CARDINAL
5964,Medicare,ORG
5965,American,NORP
5966,thousands of dollars,MONEY
5967,Social Security,ORG
5968,Americans,NORP
5969,Steve Jobs,PERSON
5970,the United States,GPE
5971,America,GPE
5972,America,GPE
5973,four years ago,DATE
5974,Phoenix,GPE
5975,Colorado,GPE
5976,thousands,CARDINAL
5977,$ 10 million,MONEY
5978,Washington,GPE
5979,first,ORDINAL
5980,1,CARDINAL
5981,Americans,NORP
5982,1,CARDINAL
5983,Lincoln,ORG
5984,tonight,TIME
5985,America,GPE
5986,1,CARDINAL
5987,naïve,GPE
5988,one,CARDINAL
5989,Warroad,GPE
5990,Minnesota,GPE
5991,"4,000",CARDINAL
5992,dozens,CARDINAL
5993,Walter Reed,PERSON
5994,Six months ago,DATE
5995,White House,ORG
5996,Iraq,GPE
5997,20 pounds,QUANTITY
5998,a few months,DATE
5999,spring day,DATE
6000,tonight,TIME
6001,this November,DATE
6002,America,GPE
6003,Providence,GPE
6004,Earth,LOC
6005,these United States,GPE
6006,Tonight,TIME
6007,more than 200 years,DATE
6008,American,NORP
6009,one,CARDINAL
6010,one,CARDINAL
6011,Tonight,TIME
6012,American,NORP
6013,the United States of America,GPE
6014,American,NORP
6015,first,ORDINAL
6016,Romney,PERSON
6017,Romney,PERSON
6018,Paul Ryan,PERSON
6019,Mitt,PERSON
6020,Romney,PERSON
6021,America,GPE
6022,tonight,TIME
6023,the weeks ahead,DATE
6024,Romney,PERSON
6025,the last four years,DATE
6026,America,GPE
6027,Joe Biden,PERSON
6028,today,DATE
6029,20 years ago,DATE
6030,Michelle,PERSON
6031,America,GPE
6032,First,ORDINAL
6033,Malia,PERSON
6034,two,CARDINAL
6035,one,CARDINAL
6036,late at night,TIME
6037,300 million,CARDINAL
6038,tonight,TIME
6039,today,DATE
6040,America,GPE
6041,America,GPE
6042,Earth,LOC
6043,America,GPE
6044,America,GPE
6045,America,GPE
6046,the South Side of Chicago,LOC
