,ent,ent_label
643,Pacific,LOC
644,the last third of the century,DATE
645,the United States,GPE
646,the Soviet Union,GPE
647,Communist,NORP
648,China,GPE
649,Warsaw,GPE
650,America,GPE
651,World War II,EVENT
652,Congress,ORG
653,America,GPE
654,Republicans,NORP
655,Democrats,NORP
656,Americans,NORP
657,the decade,DATE
658,1,CARDINAL
659,$ 500 billion,MONEY
660,the next 10 years,DATE
661,American,NORP
662,1790 to 1950,DATE
663,The decade,DATE
664,Gardner,PERSON
665,10-year,DATE
666,America,GPE
667,100 years,DATE
668,1,CARDINAL
669,American,NORP
670,America,GPE
671,more than two,CARDINAL
672,Congress,ORG
673,last year,DATE
674,at least a dozen,CARDINAL
675,three,CARDINAL
676,First,ORDINAL
677,Congress,ORG
678,last year,DATE
679,Second,ORDINAL
680,190 years,DATE
681,Washington,GPE
682,D.C.,GPE
683,Washington,GPE
684,the United States,GPE
685,Third,ORDINAL
686,Americans,NORP
687,American,NORP
688,millions,CARDINAL
689,Americans,NORP
690,the United States,GPE
691,American,NORP
692,Congress,ORG
693,19Gardner,CARDINAL
694,the decade,DATE
695,$ 57 billion,MONEY
696,American,NORP
697,four,CARDINAL
698,200,MONEY
699,America,GPE
700,millions,CARDINAL
701,Americans,NORP
702,today,DATE
703,yesterday,DATE
704,American,NORP
705,Congress,ORG
706,1969,DATE
707,more than $ 7 billion,MONEY
708,1970,DATE
709,Congress,ORG
710,$ 3 billion,MONEY
711,1971,DATE
712,an election year,DATE
713,millions,CARDINAL
714,American,NORP
715,one,CARDINAL
716,one,CARDINAL
717,Congress,ORG
718,Congress,ORG
719,Capitol,FAC
720,tonight,TIME
721,Last year,DATE
722,Congress,ORG
723,the District of Columbia,GPE
724,Congress,ORG
725,last year,DATE
726,1971,DATE
727,1970,DATE
728,Washington,GPE
729,D.C.,GPE
730,American,NORP
731,the decade of the seventies,DATE
732,the next 10 years,DATE
733,50 percent,PERCENT
734,50 percent,PERCENT
735,50 percent,PERCENT
736,50 percent,PERCENT
737,the year 1980,DATE
738,a decade,DATE
739,70 percent,PERCENT
740,the seventies,DATE
741,Americans,NORP
742,American,NORP
743,our years,DATE
744,Congress,ORG
745,America,GPE
746,just one year,DATE
747,year,DATE
748,five years or,DATE
749,10 years,DATE
750,Congress,ORG
751,$ 10 billion,MONEY
752,America,GPE
753,five years,DATE
754,five years,DATE
755,first,ORDINAL
756,80 percent,PERCENT
757,each day,DATE
758,Between now and the year 5000,DATE
759,the United States,GPE
760,one,CARDINAL
761,American,NORP
762,these years ahead,DATE
763,the past 30 years,DATE
764,America,GPE
765,third,ORDINAL
766,American,NORP
767,today,DATE
768,America,GPE
769,America,GPE
770,America,GPE
771,America,GPE
772,the 19be,DATE
773,1,CARDINAL
774,America,GPE
775,today,DATE
776,America,GPE
777,American,NORP
778,today,DATE
779,America,GPE
780,200th,ORDINAL
781,six years from now,DATE
782,America,GPE
783,America,GPE
784,America,GPE
785,America,GPE
786,first,ORDINAL
787,American,NORP
788,America,GPE
789,Two hundred years ago,DATE
790,three million,CARDINAL
791,America,GPE
792,Thomas Jefferson,PERSON
793,1802,DATE
794,millions,CARDINAL
795,Today,DATE
796,1976,DATE
797,1776,DATE
798,America,GPE
799,today,DATE
800,Americans,NORP
801,today,DATE
802,the last third of the century,DATE
803,America,GPE
804,evening,TIME
805,Americans,NORP
806,Ten days ago,DATE
807,Vietnam,GPE
808,"an additional 150,000",CARDINAL
809,Americans,NORP
810,Vietnam,GPE
811,the next year,DATE
812,Laos,GPE
813,Cambodia,GPE
814,South Vietnam,GPE
815,Americans,NORP
816,Vietnam,GPE
817,North Vietnam,GPE
818,Cambodia,GPE
819,the National Security Council,ORG
820,Bunker,PERSON
821,Abrams,PERSON
822,the last 10 days,DATE
823,Americans,NORP
824,Vietnam,GPE
825,"150,000",CARDINAL
826,Vietnam,GPE
827,Tonight,TIME
828,Cambodia,GPE
