,ent,ent_label
10125,"the night of July 17th, 1980",TIME
10126,America,GPE
10127,Tom Paine,PERSON
10128,Americans,NORP
10129,Eight years ago,DATE
10130,America,GPE
10131,today,DATE
10132,today,DATE
10133,tonight,TIME
10134,Atlanta,GPE
10135,last month,DATE
10136,Washington,GPE
10137,Americans,NORP
10138,two,CARDINAL
10139,years,DATE
10140,60 years,DATE
10141,John Adams,PERSON
10142,over 21 percent,PERCENT
10143,120 years,DATE
10144,monthly,DATE
10145,summer,DATE
10146,2 consecutive years,DATE
10147,weekly,DATE
10148,weekly,DATE
10149,9 percent,PERCENT
10150,51/2 percent,PERCENT
10151,200-year,DATE
10152,the United States,GPE
10153,up to 17 percent,PERCENT
10154,an election year,DATE
10155,1976,DATE
10156,13.4 percent,PERCENT
10157,1976,DATE
10158,Jerry Ford,PERSON
10159,4 years later,DATE
10160,1980,DATE
10161,13.4 percent,PERCENT
10162,those 4 years,DATE
10163,almost 21 percent,PERCENT
10164,last month,DATE
10165,Atlanta,GPE
10166,less than 9.2 percent,PERCENT
10167,Detroit,GPE
10168,that summer of 1980,DATE
10169,America,GPE
10170,the Soviet Union,GPE
10171,Afghanistan,GPE
10172,1881,DATE
10173,1980,DATE
10174,Olympics,EVENT
10175,those years,DATE
10176,any given day,DATE
10177,Pakistan,GPE
10178,Iran,GPE
10179,Americans,NORP
10180,the United States,GPE
10181,last month,DATE
10182,Earth,LOC
10183,1988,DATE
10184,January of 1981,DATE
10185,America,GPE
10186,5 percent,PERCENT
10187,millions,CARDINAL
10188,171/2 million,CARDINAL
10189,more than a quarter,DATE
10190,million,CARDINAL
10191,68 consecutive months,DATE
10192,America,GPE
10193,1984,DATE
10194,over 11 million,CARDINAL
10195,Reaganomics,PERSON
10196,18 percent,PERCENT
10197,1980,DATE
10198,between 3.5 and 4 percent,CARDINAL
10199,less than half,CARDINAL
10200,nearly half,CARDINAL
10201,1986,DATE
10202,more than a third,CARDINAL
10203,1987,DATE
10204,Armed Forces,ORG
10205,Grenada,EVENT
10206,Communists,NORP
10207,Libyan,NORP
10208,90 percent,PERCENT
10209,Latin America,LOC
10210,Soviets,NORP
10211,Afghanistan,GPE
10212,Iran-Iraq,EVENT
10213,first,ORDINAL
10214,8 years,DATE
10215,Southwest Africa,GPE
10216,Cuban,NORP
10217,"the 2,765 days",DATE
10218,Communists,NORP
10219,Today,DATE
10220,first,ORDINAL
10221,1881,DATE
10222,Soviet,NORP
10223,American,NORP
10224,Soviet,NORP
10225,World War II,EVENT
10226,Constitution,LAW
10227,Congress,ORG
10228,today,DATE
10229,6 years ago,DATE
10230,6-year,DATE
10231,Congress,ORG
10232,over $ 125 billion,MONEY
10233,1,MONEY
10234,2,MONEY
10235,first,ORDINAL
10236,first,ORDINAL
10237,1982,DATE
10238,$ 207 billion,MONEY
10239,1986,DATE
10240,Every single year,DATE
10241,Constitution,LAW
10242,no every year,DATE
10243,43,CARDINAL
10244,1981,DATE
10245,the middle sixties,DATE
10246,1965 through 1980,DATE
10247,15 years,DATE
10248,five,CARDINAL
10249,up to 52,CARDINAL
10250,the House of Representatives,ORG
10251,52,CARDINAL
10252,the last 56 years,DATE
10253,Senate,ORG
10254,46 of those years,DATE
10255,Republican,NORP
10256,Houses,ORG
10257,George Bush,PERSON
10258,America,GPE
10259,first,ORDINAL
10260,State,ORG
10261,Today,DATE
10262,an estimated 600 million,CARDINAL
10263,man-hours,TIME
10264,George,PERSON
10265,George Bush,PERSON
10266,1980,DATE
10267,7 weeks,DATE
10268,Social Security,ORG
10269,10 days,DATE
10270,10 days,DATE
10271,43 days,DATE
10272,75 days,DATE
10273,only 17 days,DATE
10274,only 5,DATE
10275,100 days,DATE
10276,a Department of Housing and Urban Development,ORG
10277,100 days,DATE
10278,less than one-fourth,CARDINAL
10279,22 days,DATE
10280,Departments,ORG
10281,George,PERSON
10282,these 8 years,DATE
10283,NATO,ORG
10284,Soviet,NORP
10285,NATO,ORG
10286,NATO,ORG
10287,NATO,ORG
10288,George,PERSON
10289,Brussels,GPE
10290,NATO,ORG
10291,Soviets,NORP
10292,SS-20,CARDINAL
10293,George Bush,PERSON
10294,American,NORP
10295,1981,DATE
10296,American,NORP
10297,Gorbachev,PERSON
10298,George Bush,PERSON
10299,Cabinet,ORG
10300,two,CARDINAL
10301,America,GPE
10302,the next few years,DATE
10303,America,GPE
10304,George Bush,PERSON
10305,Barbara Bush,PERSON
10306,George Bush,PERSON
10307,America,GPE
10308,George,PERSON
10309,1,CARDINAL
10310,two,CARDINAL
10311,George,PERSON
10312,one,CARDINAL
10313,one,CARDINAL
10314,Gipper,ORG
10315,1,CARDINAL
10316,evening,TIME
10317,Atlanta,GPE
10318,Republican,NORP
10319,40 years ago,DATE
10320,Democrat,NORP
10321,Franklin Delano Roosevelt,PERSON
10322,Harry Truman,PERSON
10323,America,GPE
10324,States,GPE
10325,our Republican Party,ORG
10326,millions,CARDINAL
10327,the Federal Government,ORG
10328,each day,DATE
10329,one,CARDINAL
10330,one,CARDINAL
10331,the day,DATE
10332,Congress,ORG
10333,millions,CARDINAL
10334,tonight,TIME
10335,two,CARDINAL
10336,America,GPE
10337,Cub Scouts,PERSON
10338,America,GPE
10339,about 200,CARDINAL
10340,200,CARDINAL
10341,America,GPE
10342,American,NORP
10343,the Berlin Wall,FAC
10344,America,GPE
10345,1,CARDINAL
10346,Washington,GPE
10347,America,GPE
10348,1,CARDINAL
10349,Dutch Reagan,PERSON
10350,the Rock River,LOC
10351,a few years back,DATE
10352,America,GPE
10353,Earth,LOC
10354,H.G. Wells,PERSON
10355,H.G. Wells,PERSON
10356,America,GPE
10357,General,PERSON
10358,Half,CARDINAL
10359,two,CARDINAL
10360,first,ORDINAL
10361,Halabja,GPE
10362,Maidan Shahr,PERSON
10363,Spin Buldak,PERSON
10364,today,DATE
10365,the Persian Gulf,LOC
10366,Afghanistan,GPE
10367,Africa,LOC
10368,Angola,GPE
10369,Sixty-five hundred miles,QUANTITY
10370,Southeast Asian,NORP
10371,Cambodia,GPE
10372,Vietnam,GPE
10373,only 12 years ago,DATE
10374,one-third,CARDINAL
10375,Latin America,LOC
10376,some 90 percent,PERCENT
10377,today,DATE
10378,Central America,LOC
10379,El Salvador,GPE
10380,one,CARDINAL
10381,first,ORDINAL
10382,East,LOC
10383,West,LOC
10384,first,ORDINAL
10385,Afghanistan,GPE
10386,Soviet-American,NORP
10387,the United States,GPE
